"lot","lat","time","sst"
"246","-20","-141.5","0.306320190429688"
"246","-20","-140.5","-0.234991073608398"
"246","-20","-139.5","-0.0681610107421875"
"246","-20","-138.5","-0.661264419555664"
"246","-20","-137.5","-0.565210342407227"
"246","-20","-136.5","-0.187009811401367"
"246","-20","-135.5","-0.633707046508789"
"246","-20","-134.5","-0.726774215698242"
"246","-20","-133.5","-0.21734619140625"
"246","-20","-132.5","-0.133792877197266"
"246","-20","-131.5","-0.00181961059570312"
"246","-20","-130.5","-0.192880630493164"
"246","-20","-129.5","-0.40233039855957"
"246","-20","-128.5","-0.179697036743164"
"246","-20","-127.5","0.175317764282227"
"246","-20","-126.5","-0.207981109619141"
"246","-20","-125.5","-0.590425491333008"
"246","-20","-124.5","-0.537160873413086"
"246","-20","-123.5","-0.247173309326172"
"246","-20","-122.5","-0.269359588623047"
"246","-20","-121.5","-0.316850662231445"
"246","-20","-120.5","-0.346719741821289"
"246","-20","-119.5","-0.468761444091797"
"246","-20","-118.5","-0.803316116333008"
"246","-20","-117.5","-0.632635116577148"
"246","-20","-116.5","-0.208847045898438"
"246","-20","-115.5","-0.0383071899414062"
"246","-20","-114.5","-0.216703414916992"
"246","-20","-113.5","-0.61583137512207"
"246","-20","-112.5","-0.42085075378418"
"246","-20","-111.5","-0.598369598388672"
"246","-20","-110.5","-0.866920471191406"
"246","-20","-109.5","-1.17744636535645"
"246","-20","-108.5","-1.16298484802246"
"246","-20","-107.5","-0.484180450439453"
"246","-20","-106.5","-0.214292526245117"
"246","-20","-105.5","-0.628927230834961"
"246","-20","-104.5","-0.553365707397461"
"246","-20","-103.5","-0.419191360473633"
"246","-20","-102.5","-0.201072692871094"
"246","-20","-101.5","-0.700080871582031"
"246","-20","-100.5","-0.712980270385742"
"246","-20","-99.5","-0.610353469848633"
"246","-20","-98.5","-0.43751335144043"
"246","-20","-97.5","-0.552553176879883"
"246","-20","-96.5","-0.305948257446289"
"246","-20","-95.5","0.172748565673828"
"246","-20","-94.5","0.505443572998047"
"246","-20","-93.5","0.534505844116211"
"246","-20","-92.5","0.249774932861328"
"246","-20","-91.5","-0.0601005554199219"
"246","-20","-90.5","0.144720077514648"
"246","-20","-89.5","0.122589111328125"
"246","-20","-88.5","0.212114334106445"
"246","-20","-87.5","0.14543342590332"
"246","-20","-86.5","0.0927639007568359"
"246","-20","-85.5","0.0872306823730469"
"246","-20","-84.5","0.355949401855469"
"246","-20","-83.5","0.611705780029297"
"246","-20","-82.5","0.85588264465332"
"246","-20","-81.5","0.464111328125"
"246","-20","-80.5","-0.0127830505371094"
"246","-20","-79.5","0.0747432708740234"
"246","-20","-78.5","-0.192481994628906"
"246","-20","-77.5","-0.278709411621094"
"246","-20","-76.5","-0.0604534149169922"
"246","-20","-75.5","-0.167097091674805"
"246","-20","-74.5","-0.306024551391602"
"246","-20","-73.5","-0.61671257019043"
