"lot","lat","time","sst"
"138","-20","302.5",NA
"138","-20","303.5",NA
"138","-20","304.5",NA
"138","-20","305.5",NA
"138","-20","306.5",NA
"138","-20","307.5",NA
"138","-20","308.5",NA
"138","-20","309.5",NA
"138","-20","310.5",NA
"138","-20","311.5",NA
"138","-20","312.5",NA
"138","-20","313.5",NA
"138","-20","314.5",NA
"138","-20","315.5",NA
"138","-20","316.5",NA
"138","-20","317.5",NA
"138","-20","318.5",NA
"138","-20","319.5",NA
"138","-20","320.5",NA
"138","-20","321.5",NA
"138","-20","322.5",NA
"138","-20","323.5",NA
"138","-20","324.5",NA
"138","-20","325.5",NA
"138","-20","326.5",NA
"138","-20","327.5",NA
"138","-20","328.5",NA
"138","-20","329.5",NA
"138","-20","330.5",NA
"138","-20","331.5",NA
"138","-20","332.5",NA
"138","-20","333.5",NA
"138","-20","334.5",NA
"138","-20","335.5",NA
"138","-20","336.5",NA
"138","-20","337.5",NA
"138","-20","338.5",NA
"138","-20","339.5",NA
"138","-20","340.5",NA
"138","-20","341.5",NA
"138","-20","342.5",NA
"138","-20","343.5",NA
"138","-20","344.5",NA
"138","-20","345.5",NA
"138","-20","346.5",NA
"138","-20","347.5",NA
"138","-20","348.5",NA
"138","-20","349.5",NA
"138","-20","350.5",NA
"138","-20","351.5",NA
"138","-20","352.5",NA
"138","-20","353.5",NA
"138","-20","354.5",NA
"138","-20","355.5",NA
"138","-20","356.5",NA
"138","-20","357.5",NA
"138","-20","358.5",NA
"138","-20","359.5",NA
"138","-20","360.5",NA
"138","-20","361.5",NA
"138","-20","362.5",NA
"138","-20","363.5",NA
"138","-20","364.5",NA
"138","-20","365.5",NA
"138","-20","366.5",NA
"138","-20","367.5",NA
"138","-20","368.5",NA
"138","-20","369.5",NA
"138","-20","370.5",NA
"138","-20","371.5",NA
"138","-20","372.5",NA
"138","-20","373.5",NA
"138","-20","374.5",NA
"138","-20","375.5",NA
"138","-20","376.5",NA
"138","-20","377.5",NA
"138","-20","378.5",NA
"138","-20","379.5",NA
"138","-20","380.5",NA
"138","-20","381.5",NA
"138","-20","382.5",NA
"138","-20","383.5",NA
"138","-20","384.5",NA
"138","-20","385.5",NA
"138","-20","386.5",NA
"138","-20","387.5",NA
"138","-20","388.5",NA
"138","-20","389.5",NA
"138","-20","390.5",NA
"138","-20","391.5",NA
"138","-20","392.5",NA
"138","-20","393.5",NA
"138","-20","394.5",NA
"138","-20","395.5",NA
"138","-20","396.5",NA
"138","-20","397.5",NA
"138","-20","398.5",NA
"138","-20","399.5",NA
"138","-20","400.5",NA
"138","-20","401.5",NA
"138","-20","402.5",NA
"138","-20","403.5",NA
"138","-20","404.5",NA
"138","-20","405.5",NA
"138","-20","406.5",NA
"138","-20","407.5",NA
"138","-20","408.5",NA
"138","-20","409.5",NA
"138","-20","410.5",NA
"138","-20","411.5",NA
"138","-20","412.5",NA
"138","-20","413.5",NA
"138","-20","414.5",NA
"138","-20","415.5",NA
"138","-20","416.5",NA
"138","-20","417.5",NA
"138","-20","418.5",NA
"138","-20","419.5",NA
"138","-20","420.5",NA
"138","-20","421.5",NA
"138","-20","422.5",NA
"138","-20","423.5",NA
