"lot","lat","time","sst"
"124","-32","-143.5",NA
"124","-32","-142.5",NA
"124","-32","-141.5",NA
"124","-32","-140.5",NA
"124","-32","-139.5",NA
"124","-32","-138.5",NA
"124","-32","-137.5",NA
"124","-32","-136.5",NA
"124","-32","-135.5",NA
"124","-32","-134.5",NA
"124","-32","-133.5",NA
"124","-32","-132.5",NA
"124","-32","-131.5",NA
"124","-32","-130.5",NA
"124","-32","-129.5",NA
"124","-32","-128.5",NA
"124","-32","-127.5",NA
"124","-32","-126.5",NA
"124","-32","-125.5",NA
"124","-32","-124.5",NA
"124","-32","-123.5",NA
"124","-32","-122.5",NA
"124","-32","-121.5",NA
"124","-32","-120.5",NA
"124","-32","-119.5",NA
"124","-32","-118.5",NA
"124","-32","-117.5",NA
"124","-32","-116.5",NA
"124","-32","-115.5",NA
"124","-32","-114.5",NA
"124","-32","-113.5",NA
"124","-32","-112.5",NA
"124","-32","-111.5",NA
"124","-32","-110.5",NA
"124","-32","-109.5",NA
"124","-32","-108.5",NA
"124","-32","-107.5",NA
"124","-32","-106.5",NA
"124","-32","-105.5",NA
"124","-32","-104.5",NA
"124","-32","-103.5",NA
"124","-32","-102.5",NA
"124","-32","-101.5",NA
"124","-32","-100.5",NA
"124","-32","-99.5",NA
"124","-32","-98.5",NA
"124","-32","-97.5",NA
"124","-32","-96.5",NA
"124","-32","-95.5",NA
"124","-32","-94.5",NA
"124","-32","-93.5",NA
"124","-32","-92.5",NA
"124","-32","-91.5",NA
"124","-32","-90.5",NA
"124","-32","-89.5",NA
"124","-32","-88.5",NA
"124","-32","-87.5",NA
"124","-32","-86.5",NA
"124","-32","-85.5",NA
"124","-32","-84.5",NA
"124","-32","-83.5",NA
"124","-32","-82.5",NA
"124","-32","-81.5",NA
"124","-32","-80.5",NA
"124","-32","-79.5",NA
"124","-32","-78.5",NA
"124","-32","-77.5",NA
"124","-32","-76.5",NA
"124","-32","-75.5",NA
"124","-32","-74.5",NA
"124","-32","-73.5",NA
"124","-32","-72.5",NA
"124","-32","-71.5",NA
"124","-32","-70.5",NA
"124","-32","-69.5",NA
"124","-32","-68.5",NA
"124","-32","-67.5",NA
"124","-32","-66.5",NA
"124","-32","-65.5",NA
"124","-32","-64.5",NA
"124","-32","-63.5",NA
"124","-32","-62.5",NA
"124","-32","-61.5",NA
"124","-32","-60.5",NA
"124","-32","-59.5",NA
"124","-32","-58.5",NA
"124","-32","-57.5",NA
"124","-32","-56.5",NA
"124","-32","-55.5",NA
"124","-32","-54.5",NA
"124","-32","-53.5",NA
"124","-32","-52.5",NA
"124","-32","-51.5",NA
"124","-32","-50.5",NA
