"lot","lat","time","prec"
"-121.25","28.25","104.5",NA
"-121.25","28.25","105.5",NA
"-121.25","28.25","106.5",NA
"-121.25","28.25","107.5",NA
"-121.25","28.25","108.5",NA
"-121.25","28.25","109.5",NA
"-121.25","28.25","110.5",NA
"-121.25","28.25","111.5",NA
"-121.25","28.25","112.5",NA
"-121.25","28.25","113.5",NA
"-121.25","28.25","114.5",NA
"-121.25","28.25","115.5",NA
"-121.25","28.25","116.5",NA
"-121.25","28.25","117.5",NA
"-121.25","28.25","118.5",NA
"-121.25","28.25","119.5",NA
"-121.25","28.25","120.5",NA
"-121.25","28.25","121.5",NA
"-121.25","28.25","122.5",NA
"-121.25","28.25","123.5",NA
"-121.25","28.25","124.5",NA
"-121.25","28.25","125.5",NA
"-121.25","28.25","126.5",NA
"-121.25","28.25","127.5",NA
"-121.25","28.25","128.5",NA
"-121.25","28.25","129.5",NA
"-121.25","28.25","130.5",NA
"-121.25","28.25","131.5",NA
"-121.25","28.25","132.5",NA
"-121.25","28.25","133.5",NA
"-121.25","28.25","134.5",NA
"-121.25","28.25","135.5",NA
"-121.25","28.25","136.5",NA
"-121.25","28.25","137.5",NA
"-121.25","28.25","138.5",NA
"-121.25","28.25","139.5",NA
"-121.25","28.25","140.5",NA
"-121.25","28.25","141.5",NA
"-121.25","28.25","142.5",NA
"-121.25","28.25","143.5",NA
"-121.25","28.25","144.5",NA
"-121.25","28.25","145.5",NA
"-121.25","28.25","146.5",NA
"-121.25","28.25","147.5",NA
"-121.25","28.25","148.5",NA
"-121.25","28.25","149.5",NA
"-121.25","28.25","150.5",NA
"-121.25","28.25","151.5",NA
"-121.25","28.25","152.5",NA
"-121.25","28.25","153.5",NA
"-121.25","28.25","154.5",NA
"-121.25","28.25","155.5",NA
"-121.25","28.25","156.5",NA
"-121.25","28.25","157.5",NA
"-121.25","28.25","158.5",NA
"-121.25","28.25","159.5",NA
"-121.25","28.25","160.5",NA
"-121.25","28.25","161.5",NA
"-121.25","28.25","162.5",NA
"-121.25","28.25","163.5",NA
"-121.25","28.25","164.5",NA
"-121.25","28.25","165.5",NA
"-121.25","28.25","166.5",NA
"-121.25","28.25","167.5",NA
"-121.25","28.25","168.5",NA
"-121.25","28.25","169.5",NA
"-121.25","28.25","170.5",NA
"-121.25","28.25","171.5",NA
"-121.25","28.25","172.5",NA
"-121.25","28.25","173.5",NA
"-121.25","28.25","174.5",NA
"-121.25","28.25","175.5",NA
"-121.25","28.25","176.5",NA
"-121.25","28.25","177.5",NA
"-121.25","28.25","178.5",NA
"-121.25","28.25","179.5",NA
"-121.25","28.25","180.5",NA
"-121.25","28.25","181.5",NA
"-121.25","28.25","182.5",NA
