"lot","lat","time","sst"
"238","6","56.5","-0.719785690307617"
"238","6","57.5","-0.55528450012207"
"238","6","58.5","-0.675104141235352"
"238","6","59.5","-1.02591705322266"
"238","6","60.5","-0.80390739440918"
"238","6","61.5","-0.603109359741211"
"238","6","62.5","-0.375972747802734"
"238","6","63.5","-0.118183135986328"
"238","6","64.5","0.0672683715820312"
"238","6","65.5","0.188070297241211"
"238","6","66.5","0.417020797729492"
"238","6","67.5","0.640081405639648"
"238","6","68.5","0.70353889465332"
"238","6","69.5","0.998106002807617"
"238","6","70.5","1.23688697814941"
"238","6","71.5","1.15381813049316"
"238","6","72.5","0.982559204101562"
"238","6","73.5","0.499832153320312"
"238","6","74.5","0.456901550292969"
"238","6","75.5","0.428417205810547"
"238","6","76.5","-0.12095832824707"
"238","6","77.5","-0.0826816558837891"
"238","6","78.5","0.0313682556152344"
"238","6","79.5","-0.195392608642578"
"238","6","80.5","-0.514446258544922"
"238","6","81.5","-0.323417663574219"
"238","6","82.5","-0.40765380859375"
"238","6","83.5","-0.710033416748047"
"238","6","84.5","-0.301401138305664"
"238","6","85.5","-0.157371520996094"
"238","6","86.5","-0.148147583007812"
"238","6","87.5","-0.289602279663086"
"238","6","88.5","0.0217800140380859"
"238","6","89.5","0.220479965209961"
"238","6","90.5","0.00444412231445312"
"238","6","91.5","-0.276859283447266"
"238","6","92.5","-0.772838592529297"
"238","6","93.5","-0.788299560546875"
"238","6","94.5","-0.642814636230469"
"238","6","95.5","-0.457757949829102"
"238","6","96.5","-0.77435302734375"
"238","6","97.5","-0.885957717895508"
"238","6","98.5","-0.830411911010742"
"238","6","99.5","-0.279567718505859"
"238","6","100.5","-0.419052124023438"
"238","6","101.5","0.211374282836914"
"238","6","102.5","0.383155822753906"
"238","6","103.5","0.259176254272461"
"238","6","104.5","-0.0378913879394531"
"238","6","105.5","0.233551025390625"
"238","6","106.5","0.18963623046875"
"238","6","107.5","0.358615875244141"
"238","6","108.5","0.688756942749023"
"238","6","109.5","0.715946197509766"
"238","6","110.5","0.317600250244141"
"238","6","111.5","0.383520126342773"
"238","6","112.5","0.45777702331543"
"238","6","113.5","0.200901031494141"
"238","6","114.5","0.207258224487305"
"238","6","115.5","0.486513137817383"
"238","6","116.5","0.682432174682617"
"238","6","117.5","0.727466583251953"
"238","6","118.5","0.611047744750977"
"238","6","119.5","0.693140029907227"
"238","6","120.5","0.378072738647461"
"238","6","121.5","0.20048713684082"
"238","6","122.5","0.00504112243652344"
"238","6","123.5","0.0883140563964844"
"238","6","124.5","-0.154224395751953"
"238","6","125.5","-0.449155807495117"
"238","6","126.5","-0.940586090087891"
"238","6","127.5","-1.02305221557617"
"238","6","128.5","-0.693618774414062"
"238","6","129.5","-0.855798721313477"
"238","6","130.5","-0.733121871948242"
"238","6","131.5","-0.645175933837891"
"238","6","132.5","-0.847379684448242"
"238","6","133.5","-1.03503227233887"
"238","6","134.5","-0.816741943359375"
"238","6","135.5","-0.490489959716797"
"238","6","136.5","-0.590696334838867"
"238","6","137.5","-0.575403213500977"
"238","6","138.5","-0.54578971862793"
"238","6","139.5","-0.788045883178711"
"238","6","140.5","-0.483127593994141"
"238","6","141.5","-0.722307205200195"
"238","6","142.5","-0.838909149169922"
"238","6","143.5","-1.0906982421875"
"238","6","144.5","-0.509311676025391"
"238","6","145.5","-0.255285263061523"
"238","6","146.5","0.0354652404785156"
"238","6","147.5","0.379695892333984"
"238","6","148.5","0.427316665649414"
"238","6","149.5","0.498611450195312"
"238","6","150.5","1.04973983764648"
"238","6","151.5","1.26976013183594"
"238","6","152.5","1.14828491210938"
"238","6","153.5","1.61112785339355"
"238","6","154.5","1.74619102478027"
"238","6","155.5","1.88113212585449"
"238","6","156.5","1.34959030151367"
"238","6","157.5","0.785682678222656"
"238","6","158.5","0.430313110351562"
"238","6","159.5","-0.343610763549805"
"238","6","160.5","-0.383169174194336"
"238","6","161.5","-0.473459243774414"
"238","6","162.5","-0.755048751831055"
"238","6","163.5","-0.89887809753418"
"238","6","164.5","-1.03142547607422"
"238","6","165.5","-1.0855541229248"
"238","6","166.5","-1.11012268066406"
"238","6","167.5","-1.26598930358887"
"238","6","168.5","-1.16598892211914"
"238","6","169.5","-0.819822311401367"
"238","6","170.5","-0.651504516601562"
"238","6","171.5","-0.367835998535156"
"238","6","172.5","-0.455238342285156"
"238","6","173.5","-0.124746322631836"
"238","6","174.5","-0.0214958190917969"
"238","6","175.5","0.0591793060302734"
"238","6","176.5","-0.266767501831055"
"238","6","177.5","-0.329645156860352"
"238","6","178.5","-0.549463272094727"
"238","6","179.5","-0.488779067993164"
"238","6","180.5","-0.345281600952148"
"238","6","181.5","-0.552385330200195"
"238","6","182.5","-0.74188232421875"
"238","6","183.5","-0.386020660400391"
"238","6","184.5","-0.627754211425781"
"238","6","185.5","-0.790634155273438"
"238","6","186.5","-0.667257308959961"
"238","6","187.5","-0.595890045166016"
"238","6","188.5","-0.855876922607422"
"238","6","189.5","-0.904861450195312"
"238","6","190.5","-0.810657501220703"
"238","6","191.5","-1.1691722869873"
"238","6","192.5","-1.41349601745605"
"238","6","193.5","-0.770376205444336"
"238","6","194.5","-0.15147590637207"
"238","6","195.5","-0.398347854614258"
"238","6","196.5","-0.216798782348633"
"238","6","197.5","0.415115356445312"
"238","6","198.5","0.442632675170898"
"238","6","199.5","0.655429840087891"
"238","6","200.5","0.781156539916992"
"238","6","201.5","0.85931396484375"
"238","6","202.5","0.854888916015625"
"238","6","203.5","0.589258193969727"
"238","6","204.5","0.723409652709961"
"238","6","205.5","0.618579864501953"
"238","6","206.5","0.387802124023438"
"238","6","207.5","-0.109516143798828"
"238","6","208.5","0.0783233642578125"
"238","6","209.5","0.249475479125977"
"238","6","210.5","0.388198852539062"
"238","6","211.5","0.1363525390625"
"238","6","212.5","0.351707458496094"
"238","6","213.5","0.593391418457031"
"238","6","214.5","0.429817199707031"
"238","6","215.5","0.605953216552734"
"238","6","216.5","0.566822052001953"
"238","6","217.5","0.312704086303711"
"238","6","218.5","0.265663146972656"
"238","6","219.5","-0.149446487426758"
"238","6","220.5","-0.344959259033203"
"238","6","221.5","-0.128965377807617"
"238","6","222.5","-0.199470520019531"
"238","6","223.5","-0.230127334594727"
"238","6","224.5","-0.246604919433594"
"238","6","225.5","0.139108657836914"
"238","6","226.5","0.146572113037109"
"238","6","227.5","0.448844909667969"
"238","6","228.5","0.0108184814453125"
"238","6","229.5","-0.0351181030273438"
"238","6","230.5","0.318021774291992"
"238","6","231.5","0.474573135375977"
"238","6","232.5","0.159442901611328"
"238","6","233.5","0.274906158447266"
"238","6","234.5","0.104249954223633"
"238","6","235.5","0.331298828125"
"238","6","236.5","0.414384841918945"
"238","6","237.5","0.478134155273438"
"238","6","238.5","0.503087997436523"
"238","6","239.5","0.550573348999023"
"238","6","240.5","0.581241607666016"
"238","6","241.5","0.389873504638672"
"238","6","242.5","0.1971435546875"
"238","6","243.5","0.158466339111328"
"238","6","244.5","0.169412612915039"
"238","6","245.5","0.481073379516602"
"238","6","246.5","0.287134170532227"
"238","6","247.5","-0.0394401550292969"
"238","6","248.5","0.0986995697021484"
