"lot","lat","time","prec"
"-70.25","31.75","10.5",NA
"-70.25","31.75","11.5",NA
"-70.25","31.75","12.5",NA
"-70.25","31.75","13.5",NA
"-70.25","31.75","14.5",NA
"-70.25","31.75","15.5",NA
"-70.25","31.75","16.5",NA
"-70.25","31.75","17.5",NA
"-70.25","31.75","18.5",NA
"-70.25","31.75","19.5",NA
"-70.25","31.75","20.5",NA
"-70.25","31.75","21.5",NA
"-70.25","31.75","22.5",NA
"-70.25","31.75","23.5",NA
"-70.25","31.75","24.5",NA
"-70.25","31.75","25.5",NA
"-70.25","31.75","26.5",NA
"-70.25","31.75","27.5",NA
"-70.25","31.75","28.5",NA
"-70.25","31.75","29.5",NA
"-70.25","31.75","30.5",NA
"-70.25","31.75","31.5",NA
"-70.25","31.75","32.5",NA
"-70.25","31.75","33.5",NA
"-70.25","31.75","34.5",NA
"-70.25","31.75","35.5",NA
"-70.25","31.75","36.5",NA
"-70.25","31.75","37.5",NA
"-70.25","31.75","38.5",NA
"-70.25","31.75","39.5",NA
"-70.25","31.75","40.5",NA
"-70.25","31.75","41.5",NA
"-70.25","31.75","42.5",NA
"-70.25","31.75","43.5",NA
"-70.25","31.75","44.5",NA
"-70.25","31.75","45.5",NA
"-70.25","31.75","46.5",NA
"-70.25","31.75","47.5",NA
"-70.25","31.75","48.5",NA
"-70.25","31.75","49.5",NA
"-70.25","31.75","50.5",NA
"-70.25","31.75","51.5",NA
"-70.25","31.75","52.5",NA
"-70.25","31.75","53.5",NA
"-70.25","31.75","54.5",NA
"-70.25","31.75","55.5",NA
"-70.25","31.75","56.5",NA
"-70.25","31.75","57.5",NA
"-70.25","31.75","58.5",NA
"-70.25","31.75","59.5",NA
"-70.25","31.75","60.5",NA
"-70.25","31.75","61.5",NA
"-70.25","31.75","62.5",NA
"-70.25","31.75","63.5",NA
"-70.25","31.75","64.5",NA
"-70.25","31.75","65.5",NA
"-70.25","31.75","66.5",NA
"-70.25","31.75","67.5",NA
"-70.25","31.75","68.5",NA
"-70.25","31.75","69.5",NA
"-70.25","31.75","70.5",NA
"-70.25","31.75","71.5",NA
"-70.25","31.75","72.5",NA
"-70.25","31.75","73.5",NA
"-70.25","31.75","74.5",NA
"-70.25","31.75","75.5",NA
"-70.25","31.75","76.5",NA
